experiment,algorithm,n_estimators,lr,max_depth,subsample,accuracy,precision,recall,f1,auc_roc,log_loss
1,scratch_gb,150,0.05,3,0.8,0.8982511923688394,0.7569060773480663,0.4807017543859649,0.5879828326180258,0.9303042249819305,0.27341183695835575
2,sklearn_gb,150,0.05,3,0.8,0.9024907260201378,0.7224669603524229,0.5754385964912281,0.640625,0.9362332172503669,0.22345781060718
1,scratch_gb,150,0.05,3,0.8,0.8982511923688394,0.7569060773480663,0.4807017543859649,0.5879828326180258,0.9306459031473814,0.27325599238086673
2,sklearn_gb,150,0.05,3,0.8,0.9024907260201378,0.7224669603524229,0.5754385964912281,0.640625,0.9362332172503669,0.22345781060718
